Date,Case
2022-03-17,79688041
2022-03-18,79719388
2022-03-19,79730270
2022-03-20,79741713
2022-03-21,79783990
2022-03-22,79808558
2022-03-23,79849247
2022-03-24,79892237
2022-03-25,79938661
2022-03-26,79948075
2022-03-27,79959836
2022-03-28,79998748
2022-03-29,80022811
2022-03-30,80061842
2022-03-31,80107303
2022-04-01,80139338
2022-04-02,80151068
2022-04-03,80155304
2022-04-04,80183801
2022-04-05,80209383
2022-04-06,80249869
2022-04-07,80296887
2022-04-08,80384319
2022-04-09,80397170
2022-04-10,80406370
2022-04-11,80449944
2022-04-12,80477797
2022-04-13,80514639
2022-04-14,80573532
2022-04-15,80612681
2022-04-16,80625120
